suara_presma_sah,alasan_suara_presma_tidak_sah,suara_dpm_sah,alasan_suara_dpm_tidak_sah,waktu,dalam_waktu_pemungutan,nim_email_hashed,jenis_email,input_fakultas,fakultas_tercatat,terdaftar,fakultas_benar,dapil_sesuai,pilihan_presma,pilihan_dpm_fh,pilihan_dpm_feb,pilihan_dpm_fp,pilihan_dpm_ft,pilihan_dpm_fisib,pilihan_dpm_fkis
true,,true,,2020-12-18 08:21:04 +0700 +07,true,5fcf6dfcfa8f94a388da87155a970ee2,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 3,,
true,,true,,2020-12-18 08:21:07 +0700 +07,true,4f3f2e21e6fbcc655667606e77deda6a,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 1
true,,true,,2020-12-18 08:21:08 +0700 +07,true,f66e532e8957736d0f1bf75778d21a2f,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:11 +0700 +07,true,21a4e5ea693edc596831fd6f9ed2c4d5,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:13 +0700 +07,true,bc6d7e5d61e9b96458d5ef827d1b829d,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:13 +0700 +07,true,974c724a3dc0e1cfe23ab81238a2a62b,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:14 +0700 +07,true,f7d657f08f57af02d0a721b72c690927,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 1,,
true,,true,,2020-12-18 08:21:14 +0700 +07,true,919cefbcd20dfe4d6032adf07b918b26,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:17 +0700 +07,true,7bf3a31febdb3a916a86b506657c9651,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 3,,
true,,true,,2020-12-18 08:21:21 +0700 +07,true,481f7f935dca4e5e874e50a483630803,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 2,,
true,,true,,2020-12-18 08:21:24 +0700 +07,true,05cae18c4e25620a7709b8db0d779e93,student,FKis,FKis,true,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 1
true,,true,,2020-12-18 08:21:26 +0700 +07,true,320145b2cf5dc997c89b573c111354de,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:32 +0700 +07,true,7c576713220d18e1292970286ce54cde,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:32 +0700 +07,true,1fb6f96fc716a822c08c78b096537caf,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:33 +0700 +07,true,df2bf92aecc5a387f56fc741bfd9a150,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:37 +0700 +07,true,49de8b554eeaf4f2be864f063f222e58,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 1,,,,
true,,true,,2020-12-18 08:21:37 +0700 +07,true,c03135842b78c50ae993aecfa4270a99,student,FT,FT,true,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 3,,
true,,true,,2020-12-18 08:21:39 +0700 +07,true,b2434ac5fa91c53629ffdc6037f87ca5,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 2,,,,
true,,true,,2020-12-18 08:21:39 +0700 +07,true,7b64ee55dbdf5531f80d82caab22e519,student,FEB,FEB,true,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 4,,,,
true,,true,,2020-12-18 08:21:41 +0700 +07,true,a58ba1b7888ed17102b3c4a437952601,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:42 +0700 +07,true,c9ec54b631eb9967b11d78384f644492,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:45 +0700 +07,true,0d5dd41cfb0e0492b7a61226a459a99b,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
true,,true,,2020-12-18 08:21:49 +0700 +07,true,1ffde688678a0db2a8f9ec94541d2bdd,student,FIP,FIP,true,true,,Pasangan calon nomor urut 1,,,,,,
